ukprn,uni,year,female,male,unknown,total,change,lat,lon
10007856,Aberystwyth University,2015,"4,900","4,940",0,9835,,52.403473,-4.0435839
10007856,Aberystwyth University,2016,"4,340","4,420",0,8755,-1080,52.403473,-4.0435839
10007856,Aberystwyth University,2017,"4,385","4,065",5,8455,-300,52.403473,-4.0435839
10007856,Aberystwyth University,2018,"4,390","3,785",15,8185,-270,52.403473,-4.0435839
10007856,Aberystwyth University,2019,"4,230","3,585",30,7845,-340,52.403473,-4.0435839
10007856,Aberystwyth University,2020,"4,215","3,455",50,7720,-125,52.403473,-4.0435839
10007856,Aberystwyth University,2021,"4,385","3,535",120,8040,320,52.403473,-4.0435839
10007856,Aberystwyth University,2022,"4,165","3,515",160,7845,-195,52.403473,-4.0435839
10007856,Aberystwyth University,2023,"4,585","3,610",215,8415,570,52.403473,-4.0435839
10000291,Anglia Ruskin University,2015,"12,260","7,565",0,19830,,51.741383,0.47449499
10000291,Anglia Ruskin University,2016,"12,760","8,170",0,20935,1105,51.741383,0.47449499
10000291,Anglia Ruskin University,2017,"14,090","8,405",5,22500,1565,51.741383,0.47449499
10000291,Anglia Ruskin University,2018,"14,870","8,600",15,23485,985,51.741383,0.47449499
10000291,Anglia Ruskin University,2019,"15,615","8,855",25,24490,1005,51.741383,0.47449499
10000291,Anglia Ruskin University,2020,"16,700","9,995",20,26715,2225,51.741383,0.47449499
10000291,Anglia Ruskin University,2021,"20,010","12,150",20,32180,5465,51.741383,0.47449499
10000291,Anglia Ruskin University,2022,"21,775","13,395",25,35195,3015,51.741383,0.47449499
10000291,Anglia Ruskin University,2023,"21,515","13,535",30,35080,-115,51.741383,0.47449499
10007759,Aston University,2015,"5,355","5,715",0,11070,,52.486637,-1.890952
10007759,Aston University,2016,"5,980","6,490",0,12475,1405,52.486637,-1.890952
10007759,Aston University,2017,"6,485","7,120",0,13610,1135,52.486637,-1.890952
10007759,Aston University,2018,"6,960","7,655",0,14615,1005,52.486637,-1.890952
10007759,Aston University,2019,"7,135","7,850",0,14990,375,52.486637,-1.890952
10007759,Aston University,2020,"7,505","8,090",0,15595,605,52.486637,-1.890952
10007759,Aston University,2021,"8,050","8,740",5,16795,1200,52.486637,-1.890952
10007759,Aston University,2022,"8,315","9,275",5,17595,800,52.486637,-1.890952
10007759,Aston University,2023,"9,005","10,200",5,19210,1615,52.486637,-1.890952
10007857,Bangor University,2015,"6,070","4,695",0,10765,,53.229195,-4.129437
10007857,Bangor University,2016,"6,000","4,630",0,10630,-135,53.229195,-4.129437
10007857,Bangor University,2017,"6,535","4,735",0,11270,640,53.229195,-4.129437
10007857,Bangor University,2018,"6,615","4,540",0,11155,-115,53.229195,-4.129437
10007857,Bangor University,2019,"6,095","4,095",0,10195,-960,53.229195,-4.129437
10007857,Bangor University,2020,"6,025","3,925",0,9945,-250,53.229195,-4.129437
10007857,Bangor University,2021,"5,980","3,725",0,9705,-240,53.229195,-4.129437
10007857,Bangor University,2022,"6,320","4,185",0,10505,800,53.229195,-4.129437
10007857,Bangor University,2023,"6,485","4,275",70,10825,320,53.229195,-4.129437
10000571,Bath Spa University,2015,"5,045","2,335",0,7380,,51.373211,-2.440912
10000571,Bath Spa University,2016,"5,185","2,445",0,7630,250,51.373211,-2.440912
10000571,Bath Spa University,2017,"5,400","2,575",0,7980,350,51.373211,-2.440912
10000571,Bath Spa University,2018,"5,560","2,530",0,8090,110,51.373211,-2.440912
10000571,Bath Spa University,2019,"5,455","2,425",0,7880,-210,51.373211,-2.440912
10000571,Bath Spa University,2020,"5,805","2,640",5,8450,570,51.373211,-2.440912
10000571,Bath Spa University,2021,"6,455","2,770",10,9235,785,51.373211,-2.440912
10000571,Bath Spa University,2022,"7,930","5,295",15,13240,4005,51.373211,-2.440912
10000571,Bath Spa University,2023,"9,045","8,270",20,17335,4095,51.373211,-2.440912
10007760,Birkbeck College,2015,"7,675","6,255",5,13935,,51.521893,-0.13035899
10007760,Birkbeck College,2016,"6,555","5,680",10,12245,-1690,51.521893,-0.13035899
10007760,Birkbeck College,2017,"7,010","5,895",10,12920,675,51.521893,-0.13035899
10007760,Birkbeck College,2018,"6,490","5,435",15,11940,-980,51.521893,-0.13035899
10007760,Birkbeck College,2019,"6,270","5,100",20,11390,-550,51.521893,-0.13035899
10007760,Birkbeck College,2020,"6,445","4,955",25,11425,35,51.521893,-0.13035899
10007760,Birkbeck College,2021,"6,940","5,095",35,12070,645,51.521893,-0.13035899
10007760,Birkbeck College,2022,"6,095","4,525",35,10660,-1410,51.521893,-0.13035899
10007760,Birkbeck College,2023,"5,860","4,295",50,10200,-460,51.521893,-0.13035899
10007140,Birmingham City University,2015,"14,715","8,620",0,23335,,52.517269,-1.897287
10007140,Birmingham City University,2016,"15,240","8,820",0,24065,730,52.517269,-1.897287
10007140,Birmingham City University,2017,"15,130","8,990",10,24130,65,52.517269,-1.897287
10007140,Birmingham City University,2018,"15,415","9,150",10,24575,445,52.517269,-1.897287
10007140,Birmingham City University,2019,"16,245","9,595",15,25855,1280,52.517269,-1.897287
10007140,Birmingham City University,2020,"16,875","10,030",25,26930,1075,52.517269,-1.897287
10007140,Birmingham City University,2021,"18,270","10,690",30,28995,2065,52.517269,-1.897287
10007140,Birmingham City University,2022,"19,250","10,980",60,30285,1290,52.517269,-1.897287
10007140,Birmingham City University,2023,"20,035","11,635",75,31745,1460,52.517269,-1.897287
10007811,Bishop Grosseteste University,2015,"1,815",480,0,2290,,53.243565,-0.537139
10007811,Bishop Grosseteste University,2016,"1,800",435,0,2235,-55,53.243565,-0.537139
10007811,Bishop Grosseteste University,2017,"1,790",435,0,2225,-10,53.243565,-0.537139
10007811,Bishop Grosseteste University,2018,"1,805",450,0,2255,30,53.243565,-0.537139
